pr,propierty,class
1,67.67,4
2,80.51,4
3,79.27,4
4,58.3,4
5,78.62,4
6,60.7,4
7,40.66,4
8,39.58,4
9,81.05,4
10,58.7,4
11,61.6,4
12,67.36,4
13,68.61,4
14,71.52,4
15,93.36,4
16,80,4
17,65.1,4
18,0,4
19,57.72,4
20,67.76,4
21,35.68,4
22,44.44,4
23,76.94,4
24,67.3,4
25,48.09,4
26,50,4
27,100,4
28,63.77,4
29,100,4
30,84,4
31,45.23,4
32,41.8,4
33,93.44,4
34,43.52,4
35,65.1,4
36,89.47,4
37,93.58,4
38,99.79,4
39,89.85,4
40,99.9,4
41,99.96,4
42,85.73,4
43,99.7,4
44,98.36,4
45,97.05,4
46,100,4
47,71.28,4
48,97.42,4
49,97,4
50,98.32,4
51,97.6,4
52,64.95,4
53,99.88,4
54,96,4
55,98.64,4
56,98.82,4
57,94.14,4
58,52.57,4
59,88.15,4
60,99.68,4
61,90.4,4
62,98.84,4
63,99.85,4
64,98.55,4
65,99.93,4
66,85.04,4
67,87.7,4
68,69.61,4
69,98.48,4
70,0.09,4
71,86.9,4
72,0.15,4
73,95.72,4
74,0,4
75,96.83,4
76,99.71,4
77,58.95,4
78,95.22,4
79,91.22,4
80,50,4
81,94.15,4
82,34.38,4
83,69.11,4
84,3.04,4
85,26.42,4
86,96.86,4
87,6.43,4
88,83.3,4
89,17.52,4
90,97.25,4
91,66,4
92,83.1,4
93,7.11,4
94,35.58,4
95,1.05,4
96,0.13,4
97,3.67,4
98,93.31,4
99,0.25,4
100,0.11,4
101,98.35,4
102,34.69,4
103,53.92,4
104,0.11,4
105,38.63,4
106,31.23,4
107,88.95,4
108,36.75,4
109,93.23,4
110,97.25,4
111,74.54,4
112,39.61,4
113,64.33,4
114,68.84,4
115,53.4,4
116,39.6,4
117,31.08,4
118,74.1,4
119,12.1,4
120,32.36,4
121,16.74,4
122,76.44,4
123,77.75,4
124,75.27,4
125,54.34,4
126,67.77,4
127,65.03,4
128,52.85,4
129,7.7,4
130,72.95,4
131,50.76,4
132,65.2,4
133,85.02,4
134,72.52,4
135,62.5,4
136,63.79,4
137,74.36,4
138,83.48,4
139,62.44,4
140,51.38,4
141,14.98,4
142,78.63,4
143,47.54,4
144,97.32,4
145,80.37,4
146,91.68,4
147,38.62,4
148,70.47,4
149,30.26,4
150,66.26,4
151,65.87,4
152,95.36,4
153,56.48,4
154,92.07,4
155,66.12,4
156,80.39,4
157,45.49,4
158,90.69,4
159,44.1,4
160,52.45,4
161,82.52,4
162,81.17,4
163,82.03,4
164,75.53,4
165,66.5,4
166,57.58,4
167,72.88,4
168,45.72,4
169,98.14,4
170,66.22,4
171,78.53,4
172,69.12,4
173,59.61,4
174,72.28,4
175,61.93,4
176,89.55,4
177,86.17,4
178,68.6,4
179,79.35,4
180,59.97,4
181,93.87,4
182,69.93,4
183,78.99,4
184,43.19,4
185,69.43,4
186,82.77,4
187,91.1,4
188,67.45,4
189,96.97,4
190,92.8,4
191,98.35,4
192,93.49,4
193,87.49,4
194,92.09,4
195,83.11,4
196,95.02,4
197,94.9,4
198,75.69,4
199,88.79,4
200,24.73,4
201,15.94,4
202,96.94,4
203,86.95,4
204,31.75,4
205,68.36,4
206,91.96,4
207,88.11,4
208,74.2,4
209,58.93,4
210,53.32,4
211,92.74,4
212,37.58,4
213,82.93,4
214,58.69,4
215,64.74,4
216,48.18,4
217,65.88,4
218,75.98,4
219,58.96,4
220,74.39,4
221,44.9,4
222,75,4
223,96.34,4
224,97.02,4
225,60.4,4
226,57.22,4
227,55.83,4
228,97.19,4
229,84.1,4
230,100,4
231,57.43,4
232,84.78,4
233,61.88,4
234,96.55,4
235,80.02,4
236,95.19,4
237,87.82,4
238,71.99,4
239,100,4
240,75.09,4
241,60.32,4
242,40.96,4
243,20.38,4
244,39.28,4
245,33.07,4
246,37.52,4
247,38.86,4
248,50.05,4
249,19.36,4
250,20,4
251,32.65,4
252,46.47,4
253,50.43,4
254,23.55,4
255,53.67,4
256,7.71,4
257,28.76,4
258,22.72,4
259,22.52,4
260,9.47,4
261,66.17,4
262,59.91,4
263,32.54,4
264,66.18,4
265,52.25,4
266,93.32,4
267,35.82,4
268,55.33,4
269,22.33,4
270,63.56,4
271,53.36,4
272,28.41,4
273,98.41,4
274,95.07,4
275,93.52,4
276,94.01,4
277,74.08,4
278,95,4
279,95.18,4
280,86.9,4
281,97.98,4
282,95.61,4
283,96.94,4
284,91.21,4
285,93.46,4
286,89.37,4
287,76.29,4
288,54.56,4
289,40.81,4
290,43.17,4
291,52.86,4
292,52.47,4
293,83.63,4
294,84.7,4
295,19.41,4
296,8.27,4
297,77.06,4
298,45.15,4
299,54.96,4
300,68.93,4
301,78.8,4
302,59.76,4
303,49.56,4
304,59.3,4
305,41.35,4
306,68.86,4
307,34.16,4
308,48.4,4
309,95.81,4
310,54.42,4
311,69.1,4
312,76.48,4
313,75.81,4
314,50.6,4
315,58.98,4
316,33.31,4
317,74.69,4
318,60.12,4
319,62.81,4
320,19.36,4
321,82,4
322,65.88,4
323,21.6,4
324,97.67,4
325,55.5,4
326,74.78,4
327,29.58,4
328,82.25,4
329,41.47,4
330,60.46,4
331,47.1,4
332,51.71,4
333,68.31,4
334,42.04,4
335,86.31,4
336,70.33,4
337,36.56,4
338,49.74,4
339,67.67,4
340,46.99,4
341,29.45,4
342,59.04,4
343,28.16,4
344,55.96,4
345,23.79,4
346,46.29,4
347,27.24,4
348,80.35,4
349,34.09,4
350,22.3,4
351,59.06,4
352,53.25,4
353,50.44,4
354,70.47,4
355,41.42,4
356,16.32,4
357,63.63,4
358,67.71,4
359,68.52,4
360,26.05,4
361,60.86,4
362,51.9,4
363,46.57,4
364,81.35,4
365,80.2,4
366,54.88,4
367,38.63,4
368,66.35,4
369,35.88,4
370,88.76,4
371,16.63,4
372,23.71,4
373,38.44,4
374,68.72,4
375,25,4
376,0,4
377,57.31,4
378,51.55,4
379,65.14,2
380,78.19,2
381,88.14,2
382,71.16,2
383,82.02,2
384,48.45,2
385,59.14,2
386,55.37,2
387,75.77,2
388,64.93,2
389,93.71,2
390,87.69,2
391,67.42,2
392,98.79,2
393,100,2
394,99.59,2
395,99.89,2
396,100,2
397,99.45,2
398,99.8,2
399,100,2
400,88.89,2
401,100,2
402,98.07,2
403,99.49,2
404,100,2
405,100,2
406,91.62,2
407,100,2
408,100,2
409,99.84,2
410,100,2
411,100,2
412,97.98,2
413,98.14,2
414,97.73,2
415,99.98,2
416,99.53,2
417,99.55,2
418,99.95,2
419,99.91,2
420,99.41,2
421,99.49,2
422,99.98,2
423,98.14,2
424,100,2
425,99.6,2
426,99.91,2
427,99.99,2
428,84,2
429,99.96,2
430,99.04,2
431,99.97,2
432,99.57,2
433,99.78,2
434,99.79,2
435,97.49,2
436,99.89,2
437,99.68,2
438,99.69,2
439,99.98,2
440,99.52,2
441,99.9,2
442,99.96,2
443,99.9,2
444,99.95,2
445,89.78,2
446,77.58,2
447,98.59,2
448,0.12,2
449,86.13,2
450,0,2
451,93.84,2
452,0.04,2
453,97.1,2
454,99.51,2
455,94.74,2
456,88.07,2
457,97.13,2
458,50,2
459,92.85,2
460,32.81,2
461,99.59,2
462,4.22,2
463,53.34,2
464,92.36,2
465,5.85,2
466,95.18,2
467,23.06,2
468,98.45,2
469,80.76,2
470,87.06,2
471,8.13,2
472,97.87,2
473,2.19,2
474,0.32,2
475,4.28,2
476,94.77,2
477,0.27,2
478,0.23,2
479,99.85,2
480,53.06,2
481,49.26,2
482,0.12,2
483,96.84,2
484,78.04,2
485,98.74,2
486,90.97,2
487,91.06,2
488,96.47,2
489,96.48,2
490,89.64,2
491,98.73,2
492,84.13,2
493,89.19,2
494,82.05,2
495,64.91,2
496,95.05,2
497,98.47,2
498,80.06,2
499,87.46,2
500,98.07,2
501,98.64,2
502,83.78,2
503,91.47,2
504,99.22,2
505,98.28,2
506,77,2
507,68.53,2
508,98.58,2
509,82.93,2
510,99.51,2
511,99.66,2
512,82.68,2
513,55.13,2
514,72.95,2
515,78.64,2
516,67.8,2
517,81.53,2
518,57.63,2
519,90.56,2
520,94.98,2
521,73.8,2
522,99.47,2
523,94.15,2
524,93.95,2
525,89.98,2
526,90.2,2
527,61.46,2
528,44.82,2
529,81.8,2
530,62.78,2
531,95.8,2
532,70.59,2
533,93.77,2
534,90.45,2
535,81.67,2
536,63.28,2
537,29.26,2
538,64.98,2
539,90.19,2
540,85.54,2
541,56.06,2
542,85.34,2
543,91.05,2
544,97.85,2
545,77.74,2
546,43.1,2
547,97.29,2
548,32.78,2
549,78.73,2
550,43.55,2
551,60.73,2
552,82.34,2
553,58.42,2
554,85.35,2
555,85.56,2
556,32.14,2
557,73.38,2
558,59.86,2
559,95.04,2
560,83.33,2
561,71.13,2
562,62.44,2
563,41.44,2
564,37.68,2
565,92.92,2
566,92.95,2
567,87.88,2
568,86.04,2
569,89.1,2
570,71.97,2
571,84.62,2
572,88.79,2
573,99.64,2
574,97.16,2
575,95.15,2
576,94.88,2
577,68.01,2
578,88.43,2
579,34.75,2
580,53.9,2
581,97.71,2
582,86.21,2
583,50.42,2
584,97.78,2
585,78.63,2
586,46.32,2
587,96.41,2
588,31.41,2
589,81.33,2
590,29.67,2
591,5.85,2
592,62.61,2
593,65.82,2
594,82.1,2
595,98.72,2
596,74.73,2
597,59.84,2
598,96.4,2
599,96.63,2
600,100,2
601,98.38,2
602,98.01,2
603,94.39,2
604,56.33,2
605,94.21,2
606,98.56,2
607,96.9,2
608,100,2
609,96.26,2
610,97.34,2
611,96.17,2
612,100,2
613,85.74,2
614,89.29,2
615,98.78,2
616,98.81,2
617,100,2
618,82.11,2
619,99.43,2
620,21.63,2
621,1.73,2
622,62.04,2
623,39.84,2
624,22.77,2
625,40.15,2
626,30.85,2
627,6.96,2
628,22.34,2
629,77.13,2
630,82.4,2
631,17.82,2
632,74.88,2
633,69.64,2
634,0.39,2
635,1.48,2
636,10.47,2
637,45.4,2
638,58.32,2
639,88.91,2
640,84.35,2
641,81.08,2
642,83.66,2
643,42.12,2
644,67.84,2
645,63.97,2
646,95.59,2
647,51.81,2
648,95.84,2
649,98.49,2
650,22.28,2
651,99.03,2
652,98.08,2
653,97.3,2
654,99.35,2
655,86.1,2
656,99.38,2
657,96.04,2
658,98.37,2
659,99.87,2
660,99.36,2
661,96.58,2
662,97.07,2
663,98.62,2
664,98.21,2
665,76.66,2
666,74.44,2
667,62.47,2
668,48.36,2
669,96.04,2
670,71.15,2
671,99.21,2
672,54.12,2
673,86.57,2
674,91.87,2
675,78.65,2
676,36.84,2
677,32.61,2
678,70.38,2
679,77.32,2
680,58.89,2
681,84.77,2
682,64.69,2
683,98.31,2
684,94.72,2
685,85.41,2
686,69.77,2
687,98.4,2
688,85.04,2
689,78.75,2
690,77.05,2
691,95.55,2
692,95.45,2
693,25.01,2
694,97.69,2
695,70.26,2
696,92.51,2
697,63.2,2
698,76.26,2
699,98.52,2
700,67.97,2
701,90.57,2
702,97.58,2
703,55.55,2
704,90.65,2
705,92.84,2
706,69.36,2
707,82.27,2
708,98.42,2
709,63.44,2
710,89.87,2
711,87.91,2
712,83.07,2
713,60.23,2
714,99.2,2
715,53.44,2
716,71.37,2
717,87.68,2
718,22.65,2
719,27.58,2
720,18.23,2
721,17.04,2
722,22.15,2
723,39.56,2
724,23.54,2
725,28.1,2
726,55.15,2
727,45.02,2
728,28,2
729,68.61,2
730,53.48,2
731,9.05,2
732,60.66,2
733,32.68,2
734,6.76,2
735,43.8,2
736,77.28,2
737,34.77,2
738,28.75,2
739,85.76,2
740,50.26,2
741,19.8,2
742,71.76,2
743,97.37,2
744,54.98,2
745,40.48,2
746,97.89,2
747,11.51,2
748,97.09,2
749,5.98,2
750,17.1,2
751,46.54,2
752,92.82,2
753,100,2
754,100,2
755,96.44,2
756,98.97,2
757,91.88,1
758,99.77,1
759,95.54,1
760,98.86,1
761,98.05,1
762,97.47,1
763,94.65,1
764,80.72,1
765,98.85,1
766,96.44,1
767,95.22,1
768,96.54,1
769,92.82,1
770,93.03,1
771,83.19,1
772,81.28,1
773,81.62,1
774,66.67,1
