id,NIR,RED,CLASS
1,206,204,SUELO
2,209,204,SUELO
3,214,208,SUELO
4,218,212,SUELO
5,232,227,SUELO
6,227,225,SUELO
7,224,223,SUELO
8,224,222,SUELO
9,215,213,SUELO
10,200,198,SUELO
11,195,192,SUELO
12,212,209,SUELO
13,211,211,SUELO
14,206,206,SUELO
15,207,207,SUELO
16,212,214,SUELO
17,219,222,SUELO
18,223,228,SUELO
19,224,226,SUELO
20,222,224,SUELO
21,222,224,SUELO
22,220,222,SUELO
23,219,219,SUELO
24,209,209,SUELO
25,219,221,SUELO
26,213,214,SUELO
27,224,225,SUELO
28,224,225,SUELO
29,231,231,SUELO
30,228,229,SUELO
31,205,206,SUELO
32,202,203,SUELO
33,207,210,SUELO
34,199,199,SUELO
35,207,204,SUELO
36,210,204,SUELO
37,213,206,SUELO
38,216,209,SUELO
39,225,221,SUELO
40,228,226,SUELO
41,218,216,SUELO
42,218,216,SUELO
43,200,198,SUELO
44,196,194,SUELO
45,197,194,SUELO
46,203,203,SUELO
47,204,204,SUELO
48,205,205,SUELO
49,206,206,SUELO
50,212,214,SUELO
51,218,221,SUELO
52,225,230,SUELO
53,225,227,SUELO
54,221,223,SUELO
55,221,223,SUELO
56,220,221,SUELO
57,206,206,SUELO
58,216,214,SUELO
59,220,220,SUELO
60,213,215,SUELO
61,221,221,SUELO
62,221,221,SUELO
63,234,234,SUELO
64,228,228,SUELO
65,205,205,SUELO
66,202,203,SUELO
67,204,205,SUELO
68,204,206,SUELO
69,199,200,SUELO
70,198,200,SUELO
71,198,198,SUELO
72,201,199,SUELO
73,209,204,SUELO
74,209,203,SUELO
75,212,205,SUELO
76,217,212,SUELO
77,222,220,SUELO
78,220,217,SUELO
79,208,204,SUELO
80,208,204,SUELO
81,194,192,SUELO
82,190,188,SUELO
83,197,197,SUELO
84,203,203,SUELO
85,209,209,SUELO
86,214,216,SUELO
87,205,205,SUELO
88,218,219,SUELO
89,227,229,SUELO
90,231,236,SUELO
91,218,223,SUELO
92,219,225,SUELO
93,221,224,SUELO
94,213,217,SUELO
95,212,215,SUELO
96,225,226,SUELO
97,220,220,SUELO
98,217,217,SUELO
99,224,222,SUELO
100,225,223,SUELO
101,236,234,SUELO
102,227,227,SUELO
103,204,204,SUELO
104,210,210,SUELO
105,201,201,SUELO
106,201,201,SUELO
107,199,199,SUELO
108,202,202,SUELO
109,211,213,SUELO
110,199,201,SUELO
111,198,200,SUELO
112,200,197,SUELO
113,206,203,SUELO
114,212,206,SUELO
115,212,207,SUELO
116,209,203,SUELO
117,219,214,SUELO
118,220,217,SUELO
119,213,210,SUELO
120,201,197,SUELO
121,200,196,SUELO
122,190,186,SUELO
123,192,190,SUELO
124,203,200,SUELO
125,209,209,SUELO
126,207,209,SUELO
127,215,217,SUELO
128,215,217,SUELO
129,218,219,SUELO
130,231,233,SUELO
131,223,228,SUELO
132,222,225,SUELO
133,220,224,SUELO
134,221,223,SUELO
135,214,217,SUELO
136,244,247,SUELO
137,225,228,SUELO
138,220,220,SUELO
139,221,221,SUELO
140,225,223,SUELO
141,224,222,SUELO
142,211,209,SUELO
143,205,202,SUELO
144,200,200,SUELO
145,206,206,SUELO
146,194,194,SUELO
147,195,195,SUELO
148,198,195,SUELO
149,211,208,SUELO
150,214,214,SUELO
151,228,229,SUELO
152,223,226,SUELO
153,203,201,SUELO
154,199,201,SUELO
155,200,202,SUELO
156,204,202,SUELO
157,216,211,SUELO
158,213,208,SUELO
159,213,207,SUELO
160,214,207,SUELO
161,219,213,SUELO
162,220,215,SUELO
163,205,202,SUELO
164,197,193,SUELO
165,196,192,SUELO
166,201,197,SUELO
167,203,201,SUELO
168,203,200,SUELO
169,209,209,SUELO
170,218,219,SUELO
171,226,227,SUELO
172,225,228,SUELO
173,228,231,SUELO
174,232,235,SUELO
175,219,222,SUELO
176,224,225,SUELO
177,210,208,SUELO
178,208,209,SUELO
179,230,231,SUELO
180,247,249,SUELO
181,216,218,SUELO
182,219,220,SUELO
183,221,221,SUELO
184,224,224,SUELO
185,224,224,SUELO
186,191,188,SUELO
187,194,191,SUELO
188,188,188,SUELO
189,199,198,SUELO
190,189,188,SUELO
191,188,187,SUELO
192,192,189,SUELO
193,209,206,SUELO
194,216,216,SUELO
195,221,222,SUELO
196,224,227,SUELO
197,221,224,SUELO
198,224,227,SUELO
199,217,220,SUELO
200,210,206,SUELO
201,203,201,SUELO
202,202,202,SUELO
203,203,204,SUELO
204,211,206,SUELO
205,215,209,SUELO
206,212,206,SUELO
207,212,206,SUELO
208,219,212,SUELO
209,221,215,SUELO
210,207,202,SUELO
211,207,203,SUELO
212,200,196,SUELO
213,200,196,SUELO
214,197,193,SUELO
215,203,201,SUELO
216,200,198,SUELO
217,218,218,SUELO
218,228,229,SUELO
219,229,230,SUELO
220,228,231,SUELO
221,232,235,SUELO
222,226,228,SUELO
223,225,227,SUELO
224,215,213,SUELO
225,208,205,SUELO
226,208,205,SUELO
227,235,234,SUELO
228,224,224,SUELO
229,218,217,SUELO
230,219,220,SUELO
231,253,253,SUELO
232,221,221,SUELO
233,221,221,SUELO
234,199,196,SUELO
235,197,194,SUELO
236,189,188,SUELO
237,190,189,SUELO
238,197,196,SUELO
239,197,196,SUELO
240,205,202,SUELO
241,217,214,SUELO
242,222,222,SUELO
243,216,217,SUELO
244,223,226,SUELO
245,221,223,SUELO
246,221,224,SUELO
247,214,219,SUELO
248,225,230,SUELO
249,227,232,SUELO
250,204,200,SUELO
251,204,200,SUELO
252,200,198,SUELO
253,204,202,SUELO
254,205,204,SUELO
255,211,205,SUELO
256,215,208,SUELO
257,216,209,SUELO
258,214,209,SUELO
259,223,217,SUELO
260,217,211,SUELO
261,208,202,SUELO
262,202,196,SUELO
263,214,210,SUELO
264,200,196,SUELO
265,195,193,SUELO
266,211,209,SUELO
267,210,211,SUELO
268,231,233,SUELO
269,237,239,SUELO
270,232,234,SUELO
271,232,233,SUELO
272,220,222,SUELO
273,229,230,SUELO
274,223,224,SUELO
275,215,214,SUELO
276,209,207,SUELO
277,211,207,SUELO
278,216,212,SUELO
279,227,223,SUELO
280,205,203,SUELO
281,229,227,SUELO
282,250,250,SUELO
283,224,223,SUELO
284,223,224,SUELO
285,212,211,SUELO
286,196,195,SUELO
287,194,193,SUELO
288,185,184,SUELO
289,200,197,SUELO
290,200,197,SUELO
291,221,217,SUELO
292,225,223,SUELO
293,222,222,SUELO
294,217,218,SUELO
295,218,220,SUELO
296,215,220,SUELO
297,215,220,SUELO
298,220,225,SUELO
299,222,227,SUELO
300,223,228,SUELO
301,226,231,SUELO
302,230,233,SUELO
303,206,200,SUELO
304,206,202,SUELO
305,202,200,SUELO
306,203,201,SUELO
307,202,200,SUELO
308,207,204,SUELO
309,211,206,SUELO
310,214,207,SUELO
311,215,209,SUELO
312,217,210,SUELO
313,217,212,SUELO
314,216,209,SUELO
315,211,205,SUELO
316,208,202,SUELO
317,203,197,SUELO
318,214,210,SUELO
319,214,210,SUELO
320,204,200,SUELO
321,210,208,SUELO
322,218,219,SUELO
323,233,234,SUELO
324,239,241,SUELO
325,228,230,SUELO
326,229,230,SUELO
327,217,218,SUELO
328,224,223,SUELO
329,215,214,SUELO
330,239,238,SUELO
331,211,210,SUELO
332,211,207,SUELO
333,217,212,SUELO
