id,sample1,sample2,class
1,65.14,67.67,1
2,78.19,80.51,1
3,88.14,79.27,1
4,71.16,58.3,1
5,82.02,78.62,1
6,48.45,60.7,1
7,59.14,40.66,1
8,55.37,39.58,1
9,75.77,81.05,1
10,64.93,58.7,1
11,93.71,61.6,1
12,87.69,67.36,1
13,67.42,68.61,1
14,98.79,71.52,1
15,100,93.36,1
16,99.59,80,1
17,99.89,65.1,1
18,100,0,1
19,99.45,57.72,1
20,99.8,67.76,1
21,100,35.68,1
22,88.89,44.44,1
23,100,76.94,1
24,98.07,67.3,1
25,99.49,48.09,1
26,100,50,1
27,100,100,1
28,91.62,63.77,1
29,100,100,1
30,100,84,1
31,99.84,45.23,1
32,100,41.8,1
33,100,93.44,1
34,97.98,43.52,1
35,98.14,65.1,1
36,97.73,89.47,1
37,99.98,93.58,1
38,99.53,99.79,1
39,99.55,89.85,1
40,99.95,99.9,1
41,99.91,99.96,1
42,99.41,85.73,1
43,99.49,99.7,1
44,99.98,98.36,1
45,98.14,97.05,1
46,100,100,1
47,99.6,71.28,1
48,99.91,97.42,1
49,99.99,97,1
50,84,98.32,1
51,99.96,97.6,1
52,99.04,64.95,1
53,99.97,99.88,1
54,99.57,96,1
55,99.78,98.64,1
56,99.79,98.82,1
57,97.49,94.14,1
58,99.89,52.57,1
59,99.68,88.15,1
60,99.69,99.68,1
61,99.98,90.4,1
62,99.52,98.84,1
63,99.9,99.85,1
64,99.96,98.55,1
65,99.9,99.93,1
66,99.95,85.04,1
67,89.78,87.7,1
68,77.58,69.61,1
69,98.59,98.48,1
70,0.12,0.09,1
71,86.13,86.9,1
72,0,0.15,1
73,93.84,95.72,1
74,0.04,0,1
75,97.1,96.83,1
76,99.51,99.71,1
77,94.74,58.95,1
78,88.07,95.22,1
79,97.13,91.22,1
80,50,50,1
81,92.85,94.15,1
82,32.81,34.38,1
83,99.59,69.11,1
84,4.22,3.04,1
85,53.34,26.42,1
86,92.36,96.86,1
87,5.85,6.43,1
88,95.18,83.3,1
89,23.06,17.52,1
90,98.45,97.25,1
91,80.76,66,1
92,87.06,83.1,1
93,8.13,7.11,1
94,97.87,35.58,1
95,2.19,1.05,1
96,0.32,0.13,1
97,4.28,3.67,1
98,94.77,93.31,1
99,0.27,0.25,1
100,0.23,0.11,1
101,99.85,98.35,1
102,53.06,34.69,1
103,49.26,53.92,1
104,0.12,0.11,1
105,96.84,38.63,1
106,78.04,31.23,1
107,98.74,88.95,1
108,90.97,36.75,1
109,91.06,93.23,1
110,96.47,97.25,1
111,96.48,74.54,1
112,89.64,39.61,1
113,98.73,64.33,1
114,84.13,68.84,1
115,89.19,53.4,1
116,82.05,39.6,1
117,64.91,31.08,1
118,95.05,74.1,1
119,98.47,12.1,1
120,80.06,32.36,1
121,87.46,16.74,1
122,98.07,76.44,1
123,98.64,77.75,1
124,83.78,75.27,1
125,91.47,54.34,1
126,99.22,67.77,1
127,98.28,65.03,1
128,77,52.85,1
129,68.53,7.7,1
130,98.58,72.95,1
131,82.93,50.76,1
132,99.51,65.2,1
133,99.66,85.02,1
134,82.68,72.52,1
135,55.13,62.5,1
136,72.95,63.79,1
137,78.64,74.36,1
138,67.8,83.48,1
139,81.53,62.44,1
140,57.63,51.38,1
141,90.56,14.98,1
142,94.98,78.63,1
143,73.8,47.54,1
144,99.47,97.32,1
145,94.15,80.37,1
146,93.95,91.68,1
147,89.98,38.62,1
148,90.2,70.47,1
149,61.46,30.26,1
150,44.82,66.26,1
151,81.8,65.87,1
152,62.78,95.36,1
153,95.8,56.48,1
154,70.59,92.07,1
155,93.77,66.12,1
156,90.45,80.39,1
157,81.67,45.49,1
158,63.28,90.69,1
159,29.26,44.1,1
160,64.98,52.45,1
161,90.19,82.52,1
162,85.54,81.17,1
163,56.06,82.03,1
164,85.34,75.53,1
165,91.05,66.5,1
166,97.85,57.58,1
167,77.74,72.88,1
168,43.1,45.72,1
169,97.29,98.14,1
170,32.78,66.22,1
171,78.73,78.53,1
172,43.55,69.12,1
173,60.73,59.61,1
174,82.34,72.28,1
175,58.42,61.93,1
176,85.35,89.55,1
177,85.56,86.17,1
178,32.14,68.6,1
179,73.38,79.35,1
180,59.86,59.97,1
181,95.04,93.87,1
182,83.33,69.93,1
183,71.13,78.99,1
184,62.44,43.19,1
185,41.44,69.43,1
186,37.68,82.77,1
187,92.92,91.1,1
188,92.95,67.45,1
189,87.88,96.97,1
190,86.04,92.8,1
191,89.1,98.35,1
192,71.97,93.49,1
193,84.62,87.49,1
194,88.79,92.09,1
195,99.64,83.11,1
196,97.16,95.02,1
197,95.15,94.9,1
198,94.88,75.69,1
199,68.01,88.79,1
200,88.43,24.73,1
201,34.75,15.94,1
202,53.9,96.94,1
203,97.71,86.95,1
204,86.21,31.75,1
205,50.42,68.36,1
206,97.78,91.96,1
207,78.63,88.11,1
208,46.32,74.2,1
209,96.41,58.93,1
210,31.41,53.32,1
211,81.33,92.74,1
212,29.67,37.58,1
213,5.85,82.93,1
214,62.61,58.69,1
215,65.82,64.74,1
216,82.1,48.18,1
217,98.72,65.88,1
218,74.73,75.98,1
219,59.84,58.96,1
220,96.4,74.39,1
221,96.63,44.9,1
222,100,75,1
223,98.38,96.34,1
224,98.01,97.02,1
225,94.39,60.4,1
226,56.33,57.22,1
227,94.21,55.83,1
228,98.56,97.19,1
229,96.9,84.1,1
230,100,100,1
231,96.26,57.43,1
232,97.34,84.78,1
233,96.17,61.88,1
234,100,96.55,1
235,85.74,80.02,1
236,89.29,95.19,1
237,98.78,87.82,1
238,98.81,71.99,1
239,100,100,1
240,82.11,75.09,1
241,99.43,60.32,1
242,21.63,40.96,1
243,1.73,20.38,1
244,62.04,39.28,1
245,39.84,33.07,1
246,22.77,37.52,1
247,40.15,38.86,1
248,30.85,50.05,1
249,6.96,19.36,1
250,22.34,20,1
251,77.13,32.65,1
252,82.4,46.47,1
253,17.82,50.43,1
254,74.88,23.55,1
255,69.64,53.67,1
256,0.39,7.71,1
257,1.48,28.76,1
258,10.47,22.72,1
259,45.4,22.52,1
260,58.32,9.47,1
261,88.91,66.17,1
262,84.35,59.91,1
263,81.08,32.54,1
264,83.66,66.18,1
265,42.12,52.25,1
266,67.84,93.32,1
267,63.97,35.82,1
268,95.59,55.33,1
269,51.81,22.33,1
270,95.84,63.56,1
271,98.49,53.36,1
272,22.28,28.41,1
273,99.03,98.41,1
274,98.08,95.07,1
275,97.3,93.52,1
276,99.35,94.01,1
277,86.1,74.08,1
278,99.38,95,1
279,96.04,95.18,1
280,98.37,86.9,1
281,99.87,97.98,1
282,99.36,95.61,1
283,96.58,96.94,1
284,97.07,91.21,1
285,98.62,93.46,1
286,98.21,89.37,1
287,76.66,76.29,1
288,74.44,54.56,1
289,62.47,40.81,1
290,48.36,43.17,1
291,96.04,52.86,1
292,71.15,52.47,1
293,99.21,83.63,1
294,54.12,84.7,1
295,86.57,19.41,1
296,91.87,8.27,1
297,78.65,77.06,1
298,36.84,45.15,1
299,32.61,54.96,1
300,70.38,68.93,1
301,77.32,78.8,1
302,58.89,59.76,1
303,84.77,49.56,1
304,64.69,59.3,1
305,98.31,41.35,1
306,94.72,68.86,1
307,85.41,34.16,1
308,69.77,48.4,1
309,98.4,95.81,1
310,85.04,54.42,1
311,78.75,69.1,1
312,77.05,76.48,1
313,95.55,75.81,1
314,95.45,50.6,1
315,25.01,58.98,1
316,97.69,33.31,1
317,70.26,74.69,1
318,92.51,60.12,1
319,63.2,62.81,1
320,76.26,19.36,1
321,98.52,82,1
322,67.97,65.88,1
323,90.57,21.6,1
324,97.58,97.67,1
325,55.55,55.5,1
326,90.65,74.78,1
327,92.84,29.58,1
328,69.36,82.25,1
329,82.27,41.47,1
330,98.42,60.46,1
331,63.44,47.1,1
332,89.87,51.71,1
333,87.91,68.31,1
334,83.07,42.04,1
335,60.23,86.31,1
336,99.2,70.33,1
337,53.44,36.56,1
338,71.37,49.74,1
339,87.68,67.67,1
340,22.65,46.99,1
341,27.58,29.45,1
342,18.23,59.04,1
343,17.04,28.16,1
344,22.15,55.96,1
345,39.56,23.79,1
346,23.54,46.29,1
347,28.1,27.24,1
348,55.15,80.35,1
349,45.02,34.09,1
350,28,22.3,1
351,68.61,59.06,1
352,53.48,53.25,1
353,9.05,50.44,1
354,60.66,70.47,1
355,32.68,41.42,1
356,6.76,16.32,1
357,43.8,63.63,1
358,77.28,67.71,1
359,34.77,68.52,1
360,28.75,26.05,1
361,85.76,60.86,1
362,50.26,51.9,1
363,19.8,46.57,1
364,71.76,81.35,1
365,97.37,80.2,1
366,54.98,54.88,1
367,40.48,38.63,1
368,97.89,66.35,1
369,11.51,35.88,1
370,97.09,88.76,1
371,5.98,16.63,1
372,17.1,23.71,1
373,46.54,38.44,1
374,92.82,68.72,1
375,100,25,1
376,100,0,1
377,96.44,57.31,1
378,98.97,51.55,1
379,,,1
380,,,1
381,98.95,82.72,1
382,100,38.33,1
383,,,1
384,,,1
385,81.65,71.91,1
386,,,1
387,93.94,64,1
388,0,0,1
389,,,1
390,98.16,61.29,1
391,,,1
392,77.59,84.48,1
393,96.68,51.34,1
394,,,1
395,100,76.92,1
396,,,1
397,,,1
398,100,100,1
399,,,1
400,,,1
401,,,1
402,100,85.95,1
403,100,27.49,1
404,99.44,49.16,1
405,99.66,98.63,1
406,100,63.83,1
407,99.93,68.38,1
408,100,87.9,1
409,99.39,60.28,1
410,99.04,42.52,1
411,100,64.77,1
412,100,62.64,1
413,100,74.64,1
414,,,1
415,,57.04,1
416,97.82,61.71,1
417,80,100,1
418,,100,1
419,25,69.46,1
420,100,45.63,1
421,,92.86,1
422,100,100,1
423,0,37.5,1
424,100,66.2,1
425,100,80.97,1
426,0,30.92,1
427,54.05,55.98,1
428,0,0.08,1
429,0,84.4,1
430,73.17,6.49,1
431,75,83.69,1
432,78.57,28.78,1
433,,,1
434,100,11.39,1
435,7.69,8.33,1
436,0,63.49,1
437,0,8.33,1
438,97.45,76.1,1
439,97.56,67.11,1
440,87.5,40.83,1
441,100,100,1
442,100,100,1
443,97.99,86.41,1
444,93.67,89.43,1
445,84.98,94.98,1
446,88.91,74.27,1
447,87.6,90.36,1
448,75.44,88.98,1
449,86.95,90.06,1
450,92.27,92.56,1
451,82.83,80.79,1
452,89.77,80.98,1
453,89.82,92.26,1
454,90.35,83.06,1
455,91.37,89.89,1
456,92.5,88.55,1
457,90.82,85.4,1
458,90.46,91.44,1
459,94.05,90.89,1
460,84.43,79.25,1
461,96.73,88.94,1
462,96.75,95.27,1
463,91.04,91.25,1
464,95.7,93.95,1
465,82.81,80.51,1
466,89.5,90.91,1
467,92.3,85,1
468,65.75,59.16,1
469,43.75,51.69,1
470,40.46,29.26,1
471,81.21,79.39,1
472,25.77,27.94,1
473,78.29,37.93,1
474,52.08,60.02,1
475,6.35,29.09,1
476,61.01,72.42,1
477,37.47,60.13,1
478,0.86,4.38,1
479,64.43,64.41,1
480,66.87,50.18,1
481,54.91,49.3,1
482,52.93,40.02,1
483,52.65,63.15,1
484,34.87,62.67,1
485,4.36,1.01,1
486,39.04,41.11,1
487,73.24,72.53,1
488,36.26,27.73,1
489,25.16,31.08,1
490,52.21,44.43,1
491,83.86,81.56,1
492,21.17,21.85,1
493,32.7,35.77,1
494,63.71,75.46,1
495,18.03,41.53,1
496,67.34,41.22,1
497,45.93,60.16,1
498,1.64,4.18,1
499,56.71,66.03,1
500,78.35,61.23,1
501,98.99,31.51,1
502,3.49,54.41,1
503,22.22,73.02,1
504,98.3,81.58,1
505,75.73,95.15,1
506,56.06,72.71,1
507,99.36,96.69,1
508,13.49,88.13,1
509,49.69,79.92,1
510,45.71,74.77,1
511,67.52,70.66,1
512,92.82,80.52,1
513,22.25,87.22,1
514,98.24,98.43,1
515,70.98,68.45,1
516,95.76,70.48,1
517,49.77,46.2,1
518,2.51,42,1
519,59.57,58.83,1
520,76.54,28.48,1
521,97.86,81.74,1
522,72.55,32.34,1
523,93,98.9,1
524,67.38,62.4,1
525,28.28,33.96,1
526,59.6,62.94,1
527,99.09,57.87,1
528,72.01,94.56,1
529,86.4,61.16,1
530,74.75,89.43,1
531,80.39,45.72,1
532,30.78,47.33,1
533,20.77,68.68,1
534,38.26,71.24,1
535,32.7,23.35,1
536,74.63,73.33,1
537,24.54,37.05,1
538,57.13,33.18,1
539,0,0,1
540,59.09,57.04,1
541,41.6,31.36,1
542,41.63,21.51,1
543,40.57,56.89,1
544,48.48,58.81,1
545,53,72.96,1
546,24.67,37.79,1
547,79.11,73.21,1
548,51.95,44.39,1
549,63.37,73.95,1
550,76.72,56,1
551,71.49,45,1
552,26.75,63.64,1
553,49.94,27.53,1
554,59.57,70.66,1
555,60.17,70.91,1
556,68.56,76.15,1
557,73.8,78.46,1
558,52.31,64.49,1
559,57.93,70.6,1
560,66.91,74.41,1
561,49.29,77.02,1
562,75.51,81.6,1
563,57.85,43.12,1
564,55.17,75.69,1
565,54.61,53.83,1
566,52.91,49.11,1
567,64.64,58.49,1
568,49.33,58.18,1
569,98.88,93.4,1
570,97.7,97.24,1
571,10.67,46.67,1
572,97.53,78.27,1
573,99.68,72.99,1
574,99.22,78.06,1
575,99.46,72.95,1
576,98.71,85.28,1
577,99.07,82.56,1
578,99.64,78.7,1
579,97.09,84.03,1
580,51.98,69.19,1
581,70.57,66.72,1
582,96.49,96.7,1
583,49.66,76.45,1
584,22.33,51.3,1
585,73.7,72.01,1
586,64.8,90.01,1
587,4.17,57.91,1
588,56.23,36,1
589,57.52,67.76,1
590,77.48,70.67,1
591,85.14,86.73,1
592,94,97.02,1
593,27.19,64.24,1
594,54.13,55.48,1
595,57.65,49.02,1
596,94.13,5.01,1
597,76.12,65.4,1
598,64.97,79.96,1
599,57.93,51.64,1
600,54.6,59.41,1
601,64.7,21.67,1
602,11.32,67.42,1
603,79.83,58.94,1
604,77.3,78.94,1
605,98.18,89.95,1
606,70.43,57.18,1
607,97.68,91.98,1
608,81.62,40.82,1
609,68.56,84.85,1
610,79.5,78.64,1
611,63.08,27.43,1
612,81.11,93.55,1
613,74,60.28,1
614,67.04,66.38,1
615,65.15,52.51,1
616,97.24,97.91,1
617,51.21,75.91,1
618,75.09,77.67,1
619,72.25,62.81,1
620,77.07,86.45,1
621,75.05,79.27,1
622,78.3,81.95,1
623,98.78,75.78,1
624,84.92,88.63,1
625,85.63,70.33,1
626,94.95,99.52,1
627,73.45,72.17,1
628,94.58,68.78,1
629,97.53,94.44,1
630,94.09,67.11,1
631,10.29,34.98,1
632,60.78,64.64,1
633,47.12,63.72,1
634,81.15,85.82,1
635,74.1,75.15,1
636,82.99,81.62,1
637,75.88,79.4,1
638,94.04,75.31,1
639,81.54,44.38,1
640,88.9,92.23,1
641,94.34,95.77,1
642,68.39,74.4,1
643,85.58,74.5,1
644,66.89,74.88,1
645,82.01,6.33,1
646,57.88,55.22,1
647,86.38,82.12,1
648,50.14,90.08,1
649,81.56,12.05,1
650,90.44,85.04,1
651,93.7,79.57,1
652,74.31,91.88,1
653,91.8,95.81,1
654,81.62,47.66,1
655,92.94,97.83,1
656,98.95,97.15,1
657,91.89,91.27,1
658,95,94.31,1
659,97.35,94.74,1
660,77.4,69.09,1
661,61.06,86.87,1
662,85.84,87.5,1
663,95.78,86.34,1
664,81.21,89.96,1
665,89.76,88.33,1
666,84.46,77.31,1
667,95.06,94.9,1
668,100,90.91,1
669,100,93.95,1
670,100,100,1
671,93.78,98.56,1
672,99.59,96.36,1
673,97.83,86.96,1
674,91.88,73.54,2
675,99.77,89.04,2
676,95.54,88.05,2
677,98.86,86.15,2
678,98.05,65.78,2
679,97.47,92.75,2
680,94.65,73.99,2
681,80.72,77.23,2
682,98.85,96.76,2
683,96.44,85.4,2
684,95.22,79.43,2
685,96.54,87.74,2
686,92.82,71.8,2
687,93.03,100,2
688,83.19,90.78,2
689,81.28,99.34,2
690,81.62,,2
691,66.67,,2
692,92.05,0,2
693,71.78,,2
694,80.54,,2
695,25,33.33,2
696,82.11,0,2
697,86.61,100,2
698,91.15,,2
699,50,0,2
700,100,,2
701,84.68,0,2
702,100,0,2
703,90.67,,2
704,91.82,100,2
705,60.58,,2
706,80.33,,2
707,89.57,,2
708,99.63,2.99,2
709,99.66,29.56,2
710,99.55,0.92,2
711,99.96,0.92,2
712,99.98,0.06,2
713,98.94,3.42,2
714,100,1.65,2
715,99.24,7.77,2
716,99.94,3.99,2
717,99.98,0.06,2
718,99.88,4.51,2
719,100,0,2
720,99.97,1.41,2
721,99.98,0.48,2
722,100,0,2
723,56.33,61.09,2
724,99.99,1.97,2
725,99.56,0.32,2
726,100,0.15,2
727,99.86,3.86,2
728,99.95,0.08,2
729,99.97,0.89,2
730,97.61,7.87,2
731,100,0.17,2
732,99.1,0.39,2
733,98.98,4.43,2
734,100,0.23,2
735,99.94,1.91,2
736,99.97,0.08,2
737,100,0.04,2
738,99.97,0.77,2
739,99.88,2.42,2
740,90.04,0.02,2
741,78.21,0.12,2
742,99,0.43,2
743,0.12,0.15,2
744,87.39,0.03,2
745,0.17,0.16,2
746,99.26,1.79,2
747,0.07,0.07,2
748,98.13,2.8,2
749,99.75,2.28,2
750,100,64.21,2
751,99.28,0.85,2
752,99.18,2.68,2
753,100,0,2
754,94.45,0.3,2
755,96.88,91.07,2
756,95.93,54.07,2
757,6.39,3.12,2
758,55.18,0.12,2
759,98.37,7.96,2
760,6.45,0.03,2
761,99.34,0.15,2
762,31.45,6.11,2
763,99.66,0.41,2
764,81.41,0.37,2
765,94.84,4.08,2
766,8.91,0.54,2
767,98.07,0.84,2
768,2.34,1.86,2
769,0.34,0.18,2
770,4.34,2.23,2
771,98.84,74.13,2
772,0.5,0.21,2
773,0,0.23,2
774,99.9,0.83,2
775,97.96,57.14,2
776,98.28,67.89,2
777,0.3,0.18,2
778,99.18,52.95,2
779,99.61,49.84,2
780,99.88,82.22,2
781,92.5,21.93,2
782,99.9,62.25,2
783,98.79,88.09,2
784,98.45,86.97,2
785,92.59,88.53,2
786,99.75,69.54,2
787,99.58,63.75,2
788,94.29,80.07,2
789,95.02,48.95,2
790,93.67,74.86,2
791,99.22,99.35,2
792,99.09,57.79,2
793,59.83,39.43,2
794,96.15,84.69,2
795,95.98,95.73,2
796,99.74,94.72,2
797,98.42,95.78,2
798,90.01,66.24,2
799,98.38,97.08,2
800,99.73,78.16,2
801,90.06,51.48,2
802,76.32,8.42,2
803,99.57,95.55,2
804,95.11,72.22,2
805,100,29.02,2
806,97.98,45.9,2
807,95.38,40.49,2
808,88.42,38.23,2
809,98.15,59.01,2
810,97.76,67,2
811,95.33,68.68,2
812,93.67,63.43,2
813,91.79,30.24,2
814,95.68,36.05,2
815,96.66,72.01,2
816,99.31,76.24,2
817,97.86,86.35,2
818,97.22,39.38,2
819,98.05,94.66,2
820,80.32,26.04,2
821,98.82,40.45,2
822,77.23,2.1,2
823,86.88,1.66,2
824,94.29,61.5,2
825,99.04,24.49,2
826,98.79,90.33,2
827,91.52,13.14,2
828,99.72,88.52,2
829,96.39,77.48,2
830,84.29,78.73,2
831,98.07,79.44,2
832,90.14,34.19,2
833,94.49,10.34,2
834,90.92,59.09,2
835,98.07,41.85,2
836,92.83,19.64,2
837,95.91,55.94,2
838,96.94,92.01,2
839,92.41,73.1,2
840,93.46,65.71,2
841,93,56.88,2
842,100,100,2
