id,NIR,RED,CLASS
6276,24,16,1
6277,19,14,1
6278,18,14,1
6279,16,12,1
6280,24,16,1
6281,21,13,1
6282,24,16,1
6283,20,15,1
6284,15,11,1
6285,15,11,1
6286,14,10,1
6287,24,19,1
6288,19,14,1
6289,19,14,1
6290,18,13,1
6291,14,10,1
6292,13,9,1
6293,13,9,1
6294,11,7,1
6295,12,8,1
6296,24,19,1
6297,20,16,1
6298,16,12,1
6299,16,12,1
6300,16,12,1
6301,15,11,1
6302,14,10,1
6303,11,7,1
6304,12,8,1
6305,12,8,1
6306,15,9,1
6307,31,20,1
6308,26,18,1
6309,19,15,1
6310,18,14,1
6311,17,13,1
6312,17,13,1
6313,13,9,1
6314,14,10,1
6315,12,8,1
6316,12,8,1
6317,12,8,1
6318,12,8,1
6319,13,9,1
6320,31,20,1
6321,27,18,1
6322,21,16,1
6323,18,15,1
6324,18,14,1
6325,13,12,1
6326,15,11,1
6327,13,9,1
6328,12,10,1
6329,10,8,1
6330,11,9,1
6331,9,7,1
6332,9,7,1
6333,13,9,1
6334,29,20,1
6335,29,20,1
6336,24,16,1
6337,19,14,1
6338,18,15,1
6339,17,13,1
6340,12,11,1
6341,14,10,1
6342,12,8,1
6343,12,10,1
6344,9,7,1
6345,8,6,1
6346,8,6,1
6347,9,7,1
6348,28,17,1
6349,25,15,1
6350,25,15,1
6351,23,15,1
6352,20,15,1
6353,18,14,1
6354,15,11,1
6355,16,12,1
6356,14,13,1
6357,9,8,1
6358,9,8,1
6359,8,7,1
6360,8,6,1
6361,8,6,1
6362,8,6,1
6363,29,18,1
6364,24,14,1
6365,24,14,1
6366,24,14,1
6367,24,16,1
6368,23,18,1
6369,14,10,1
6370,13,9,1
6371,13,9,1
6372,11,10,1
6373,9,8,1
6374,8,7,1
6375,8,7,1
6376,8,6,1
6377,8,6,1
6378,7,5,1
6379,38,21,1
6380,26,17,1
6381,25,15,1
6382,24,16,1
6383,23,15,1
6384,20,12,1
6385,16,12,1
6386,14,10,1
6387,12,8,1
6388,10,6,1
6389,8,6,1
6390,9,7,1
6391,7,7,1
6392,8,8,1
6393,8,8,1
6394,7,7,1
6395,8,6,1
6396,45,22,1
6397,30,17,1
6398,25,16,1
6399,23,15,1
6400,23,15,1
6401,23,15,1
6402,20,15,1
6403,15,11,1
6404,11,10,1
6405,11,7,1
6406,10,6,1
6407,8,6,1
6408,9,7,1
6409,8,8,1
6410,7,7,1
6411,6,6,1
6412,8,8,1
6413,8,6,1
6414,41,22,1
6415,32,19,1
6416,26,17,1
6417,24,16,1
6418,23,15,1
6419,18,13,1
6420,16,11,1
6421,14,10,1
6422,10,9,1
6423,9,7,1
6424,9,7,1
6425,9,7,1
6426,8,6,1
6427,6,6,1
6428,7,7,1
6429,8,6,1
6430,9,7,1
6431,11,7,1
6432,42,23,1
6433,30,16,1
6434,24,16,1
6435,21,13,1
6436,19,14,1
6437,18,13,1
6438,14,10,1
6439,12,11,1
6440,9,8,1
6441,8,6,1
6442,10,8,1
6443,9,7,1
6444,6,4,1
6445,7,7,1
6446,7,7,1
6447,8,6,1
6448,10,6,1
6449,46,22,1
6450,31,17,1
6451,22,14,1
6452,21,16,1
6453,22,17,1
6454,18,13,1
6455,14,10,1
6456,12,11,1
6457,14,14,1
6458,9,9,1
6459,8,8,1
6460,9,7,1
6461,5,3,1
6462,5,5,1
6463,5,5,1
6464,8,6,1
6465,11,5,1
6466,44,23,1
6467,26,15,1
6468,20,15,1
6469,20,16,1
6470,20,16,1
6471,23,18,1
6472,14,10,1
6473,10,9,1
6474,10,10,1
6475,7,7,1
6476,8,8,1
6477,8,6,1
6478,8,6,1
6479,8,8,1
6480,7,7,1
6481,8,6,1
6482,15,6,1
6483,33,15,1
6484,23,14,1
6485,20,15,1
6486,21,18,1
6487,20,17,1
6488,17,13,1
6489,13,9,1
6490,10,9,1
6491,10,8,1
6492,9,7,1
6493,10,8,1
6494,10,8,1
6495,9,7,1
6496,6,6,1
6497,5,5,1
6498,8,7,1
6499,20,10,1
6500,30,17,1
6501,23,14,1
6502,21,16,1
6503,17,12,1
6504,16,12,1
6505,14,10,1
6506,11,7,1
6507,8,6,1
6508,9,7,1
6509,6,4,1
6510,7,5,1
6511,7,5,1
6512,6,6,1
6513,5,5,1
6514,5,5,1
6515,10,6,1
6516,21,10,1
6517,25,11,1
6518,21,11,1
6519,18,13,1
6520,15,10,1
6521,15,9,1
6522,11,7,1
6523,11,7,1
6524,8,6,1
6525,9,7,1
6526,7,5,1
6527,6,4,1
6528,5,5,1
6529,5,5,1
6530,5,5,1
6531,5,5,1
6532,10,6,1
6533,26,12,1
6534,21,10,1
6535,17,9,1
6536,15,7,1
6537,13,7,1
6538,12,8,1
6539,13,9,1
6540,9,7,1
6541,7,5,1
6542,9,7,1
6543,7,5,1
6544,7,5,1
6545,5,5,1
6546,5,5,1
6547,9,8,1
6548,22,14,1
6549,20,6,1
6550,18,8,1
6551,20,10,1
6552,19,11,1
6553,13,7,1
6554,10,6,1
6555,9,5,1
6556,10,6,1
6557,7,5,1
6558,7,5,1
6559,7,5,1
6560,9,5,1
6561,9,5,1
6562,22,14,1
6563,43,29,1
6564,23,9,1
6565,20,10,1
6566,19,9,1
6567,18,9,1
6568,14,8,1
6569,11,7,1
6570,8,4,1
6571,10,6,1
6572,7,5,1
6573,7,5,1
6574,9,5,1
6575,13,9,1
6576,10,6,1
6577,25,17,1
6578,41,27,1
6579,34,19,1
6580,20,8,1
6581,16,8,1
6582,16,7,1
6583,14,8,1
6584,10,6,1
6585,9,5,1
6586,8,4,1
6587,9,5,1
6588,7,6,1
6589,8,7,1
6590,11,7,1
6591,15,11,1
6592,9,5,1
6593,12,8,1
6594,24,14,1
6595,28,17,1
6596,16,8,1
6597,13,7,1
6598,11,5,1
6599,11,5,1
6600,10,6,1
6601,9,5,1
6602,10,6,1
6603,8,6,1
6604,8,7,1
6605,7,6,1
6606,7,5,1
6607,6,4,1
6608,7,5,1
6609,8,6,1
6610,12,8,1
6611,20,12,1
6612,22,11,1
6613,13,7,1
6614,9,5,1
6615,11,5,1
6616,11,5,1
6617,12,8,1
6618,11,7,1
6619,7,6,1
6620,6,4,1
6621,7,5,1
6622,7,5,1
6623,7,5,1
6624,6,4,1
6625,6,4,1
6626,5,5,1
6627,7,5,1
6628,11,7,1
6629,14,6,1
6630,11,5,1
6631,10,6,1
6632,10,4,1
6633,9,5,1
6634,9,5,1
6635,7,6,1
6636,7,6,1
6637,5,3,1
6638,6,4,1
6639,6,4,1
6640,6,4,1
6641,5,5,1
6642,5,5,1
6643,5,5,1
6644,5,5,1
6645,9,8,1
6646,12,7,1
6647,29,19,1
6648,11,5,1
6649,7,6,1
6650,10,6,1
6651,9,5,1
6652,9,5,1
6653,7,6,1
6654,7,5,1
6655,5,5,1
6656,6,5,1
6657,6,4,1
6658,5,5,1
6659,6,6,1
6660,5,5,1
6661,5,5,1
6662,5,5,1
6663,5,5,1
6664,5,5,1
6665,10,9,1
6666,14,6,1
6667,10,6,1
6668,9,5,1
6669,9,5,1
6670,7,6,1
6671,6,5,1
6672,4,4,1
6673,4,4,1
6674,6,5,1
6675,5,5,1
6676,5,5,1
6677,4,5,1
6678,5,5,1
6679,5,5,1
6680,5,5,1
6681,7,7,1
6682,6,8,1
6683,5,7,1
6684,5,5,1
6685,21,10,1
6686,12,7,1
6687,10,4,1
6688,10,6,1
6689,7,6,1
6690,7,6,1
6691,5,3,1
6692,6,4,1
6693,6,6,1
6694,6,6,1
6695,5,5,1
6696,5,5,1
6697,4,4,1
6698,5,5,1
6699,6,6,1
6700,5,5,1
6701,5,5,1
6702,6,6,1
6703,7,7,1
6704,35,20,1
6705,16,8,1
6706,11,5,1
6707,10,6,1
6708,9,5,1
6709,7,5,1
6710,6,4,1
6711,6,4,1
6712,6,6,1
6713,6,6,1
6714,6,6,1
6715,5,5,1
6716,5,5,1
6717,5,5,1
6718,6,6,1
6719,7,7,1
6720,6,6,1
6721,6,6,1
6722,5,5,1
6723,7,7,1
6724,35,17,1
6725,16,8,1
6726,11,5,1
6727,10,6,1
6728,8,4,1
6729,8,4,1
6730,6,4,1
6731,6,4,1
6732,4,4,1
6733,5,5,1
6734,5,5,1
6735,5,5,1
6736,5,5,1
6737,4,4,1
6738,5,5,1
6739,5,5,1
6740,5,5,1
6741,6,6,1
6742,6,6,1
6743,5,5,1
6744,30,15,1
6745,13,5,1
6746,8,4,1
6747,8,4,1
6748,8,4,1
6749,6,4,1
6750,6,4,1
6751,7,5,1
6752,6,5,1
6753,7,7,1
6754,7,7,1
6755,4,4,1
6756,5,5,1
6757,5,5,1
6758,7,7,1
6759,6,6,1
6760,6,6,1
6761,5,5,1
6762,6,6,1
6763,6,6,1
6764,7,5,1
6765,19,9,1
6766,8,4,1
6767,9,5,1
6768,7,5,1
6769,6,4,1
6770,7,5,1
6771,6,5,1
6772,6,5,1
6773,6,5,1
6774,6,5,1
6775,6,4,1
6776,6,4,1
6777,4,4,1
6778,5,5,1
6779,5,5,1
6780,6,6,1
